#(id,from,to,speed,planTime)
(10821, 38, 2, 6, 8)
(10822, 56, 18, 4, 6)
(10823, 23, 64, 4, 6)
(10824, 40, 7, 4, 3)
(10825, 52, 5, 4, 1)
(10826, 10, 62, 2, 5)
(10827, 42, 8, 4, 8)
(10828, 41, 8, 6, 1)
(10829, 50, 8, 6, 5)
(10830, 19, 63, 8, 8)
(10831, 45, 12, 4, 1)
(10832, 8, 50, 4, 6)
(10833, 30, 64, 6, 5)
(10834, 15, 63, 6, 9)
(10835, 51, 6, 6, 9)
(10836, 53, 14, 2, 1)
(10837, 24, 62, 8, 4)
(10838, 54, 20, 8, 1)
(10839, 2, 37, 4, 4)
(10840, 14, 60, 4, 6)
(10841, 22, 60, 2, 6)
(10842, 45, 13, 4, 8)
(10843, 39, 6, 8, 7)
(10844, 40, 8, 2, 9)
(10845, 15, 62, 8, 7)
(10846, 15, 60, 8, 8)
(10847, 26, 64, 2, 6)
(10848, 21, 59, 8, 3)
(10849, 25, 61, 6, 3)
(10850, 28, 63, 4, 5)
(10851, 1, 34, 8, 10)
(10852, 56, 17, 4, 10)
(10853, 41, 2, 6, 3)
(10854, 29, 61, 6, 7)
(10855, 47, 8, 4, 2)
(10856, 13, 54, 8, 10)
(10857, 36, 4, 4, 10)
(10858, 29, 64, 8, 7)
(10859, 52, 16, 4, 9)
(10860, 26, 58, 6, 1)
(10861, 12, 61, 8, 1)
(10862, 20, 52, 4, 5)
(10863, 18, 64, 4, 2)
(10864, 46, 10, 8, 7)
(10865, 32, 64, 6, 4)
(10866, 30, 62, 6, 2)
(10867, 18, 54, 6, 2)
(10868, 3, 62, 4, 5)
(10869, 50, 15, 6, 6)
(10870, 29, 64, 4, 8)
(10871, 54, 14, 8, 9)
(10872, 34, 1, 2, 5)
(10873, 31, 63, 6, 5)
(10874, 1, 51, 6, 4)
(10875, 1, 49, 4, 8)
(10876, 49, 12, 2, 8)
(10877, 43, 8, 8, 7)
(10878, 64, 18, 6, 5)
(10879, 34, 1, 4, 9)
(10880, 35, 2, 2, 9)
(10881, 29, 63, 4, 9)
(10882, 60, 25, 6, 1)
(10883, 7, 61, 4, 9)
(10884, 2, 46, 4, 3)
(10885, 33, 1, 4, 8)
(10886, 58, 3, 6, 1)
(10887, 39, 7, 8, 5)
(10888, 55, 16, 8, 1)
(10889, 45, 13, 2, 4)
(10890, 5, 47, 6, 7)
(10891, 61, 4, 8, 1)
(10892, 44, 6, 2, 7)
(10893, 20, 54, 4, 1)
(10894, 50, 6, 4, 2)
(10895, 8, 47, 8, 4)
(10896, 64, 6, 8, 8)
(10897, 38, 2, 6, 7)
(10898, 24, 60, 6, 7)
(10899, 25, 61, 6, 3)
(10900, 17, 55, 8, 5)
(10901, 46, 5, 2, 3)
(10902, 35, 1, 6, 9)
(10903, 6, 43, 6, 8)
(10904, 3, 60, 4, 1)
(10905, 10, 64, 2, 5)
(10906, 58, 16, 2, 2)
(10907, 52, 14, 8, 8)
(10908, 60, 12, 6, 6)
(10909, 40, 7, 8, 8)
(10910, 31, 64, 6, 5)
(10911, 63, 2, 8, 1)
(10912, 3, 44, 4, 3)
(10913, 9, 56, 8, 9)
(10914, 48, 13, 6, 4)
(10915, 29, 64, 6, 2)
(10916, 29, 63, 6, 4)
(10917, 34, 2, 2, 2)
(10918, 59, 5, 2, 1)
(10919, 29, 64, 6, 10)
(10920, 2, 61, 8, 2)
(10921, 24, 63, 4, 2)
(10922, 32, 64, 6, 9)
(10923, 34, 2, 6, 7)
(10924, 36, 1, 8, 3)
(10925, 61, 6, 2, 9)
(10926, 38, 4, 4, 7)
(10927, 9, 47, 2, 7)
(10928, 43, 7, 2, 7)
(10929, 36, 2, 2, 2)
(10930, 16, 53, 2, 3)
(10931, 10, 61, 4, 6)
(10932, 47, 9, 6, 9)
(10933, 48, 1, 8, 7)
(10934, 8, 59, 4, 2)
(10935, 58, 10, 4, 8)
(10936, 25, 58, 6, 4)
(10937, 18, 60, 8, 4)
(10938, 16, 60, 8, 5)
(10939, 4, 49, 8, 7)
(10940, 62, 11, 8, 7)
(10941, 36, 3, 2, 9)
(10942, 16, 61, 6, 1)
(10943, 22, 58, 8, 2)
(10944, 16, 60, 6, 7)
(10945, 41, 9, 8, 8)
(10946, 12, 53, 2, 3)
(10947, 52, 17, 6, 1)
(10948, 27, 61, 2, 10)
(10949, 50, 1, 6, 4)
(10950, 15, 57, 8, 1)
(10951, 5, 56, 8, 1)
(10952, 58, 17, 2, 4)
(10953, 32, 64, 4, 4)
(10954, 24, 64, 8, 10)
(10955, 62, 11, 6, 3)
(10956, 18, 62, 8, 8)
(10957, 33, 1, 4, 3)
(10958, 43, 3, 2, 9)
(10959, 51, 14, 2, 1)
(10960, 51, 17, 4, 10)
(10961, 5, 48, 8, 7)
(10962, 63, 9, 6, 10)
(10963, 58, 10, 2, 9)
(10964, 28, 61, 6, 1)
(10965, 44, 3, 2, 8)
(10966, 28, 62, 8, 7)
(10967, 41, 3, 2, 8)
(10968, 48, 8, 8, 8)
(10969, 9, 54, 6, 3)
(10970, 12, 45, 2, 8)
(10971, 18, 57, 8, 1)
(10972, 33, 1, 4, 10)
(10973, 21, 62, 4, 1)
(10974, 23, 57, 8, 5)
(10975, 50, 13, 4, 4)
(10976, 6, 54, 8, 1)
(10977, 50, 16, 6, 3)
(10978, 6, 40, 2, 9)
(10979, 52, 6, 2, 8)
(10980, 53, 5, 6, 1)
(10981, 47, 15, 4, 3)
(10982, 25, 64, 4, 3)
(10983, 34, 2, 4, 6)
(10984, 37, 1, 4, 1)
(10985, 48, 7, 4, 4)
(10986, 53, 12, 6, 7)
(10987, 17, 64, 8, 2)
(10988, 60, 17, 2, 1)
(10989, 23, 62, 6, 1)
(10990, 29, 63, 6, 4)
(10991, 34, 1, 6, 3)
(10992, 19, 60, 6, 7)
(10993, 32, 64, 6, 6)
(10994, 29, 62, 8, 5)
(10995, 15, 49, 8, 5)
(10996, 52, 16, 2, 9)
(10997, 6, 43, 6, 3)
(10998, 49, 14, 6, 5)
